BUSINESS_PARTNER,CREATE_LOCATION,BPGROUP,SEARCH_TERM1,SEARCH_TERM2,TITLE,NAME1,NAME2,NAME3,CITY,POSTALCODE,STREET1,STREET2,STREET3,COUNTRY,LANGUAGE,STATE,PHONE,FAX,EMAIL,TIMEZONE,WEBSITE,USERID,SCAC,TSA,TWIC,SW,RLP,CWID,IATA,TAXNUM,SHIPPERKNOWNSTATUS,KNOWNSHIPPERCODE,EXPIRATIONDATE,KNOWNFROMDATE,PICKUPHRSFROM,PICKUPHRSTO,DELIVERHRSFROM,DELIVERHRSTO,COMPANYCODE,COMPANYCODEREF,STATIONPO,STATIONSO,ACCOUNTWITHVENDOR,ACCOUNTWITHCUSTOMER,PAYMENTTERMS,COMMUNICATION_METHOD,CARR_TYPE,EVENT_TYPES,ACI_AIRPORT,ACI_ZONE,SPECIALINSTRUCTIONS,PDETERMINATION,IDTYPE,IDNUMBER,RELATIONSHIPCATEGORY,STANDARDRELATIONSHIP,PARTNERDETROLECODE,REVERSERELATIONSHIP,CARRIER,CUSTOMER,CONTACTPERSON,SALESREP,FIRMS,OVERSEASAGENT,CUSTOMBROKER,CUSTOMOFFICE,RELATIONSHIP (HAS INV PARTY),LookupSalesRep,LookupSalesCode,CWID_Merge,StationCodeIDMerge,BPID,Name1_Abbv,ACI_airport,ACIzone,LookupAP,LookupZone,state,TimezoneLookup
,X,TCUS,WORLD CARGO SRL,,0003,WORLD CARGO SRL,,,MILAN,20096,VIADUCT DANTE 97/B,LIMITO DI PIOTELLO,,IT,E,,,,,,,,,,,,,C326359,,,US,,,,,,,,,,,,,,NT15,,,,,,,8011043,,,CRMH04,,10,X,,X,,,,,,,,INTL,S91,C326359,,8011043,WORLD CARGO SRL,,,,,,
,X,TCUS,FCA US -SHERWOOD 03117,,0003,FCA US -SHERWOOD 03117,,,WARREN,48091,SHERWOOD NATIONAL PDC,21555 SHERWOOD BUILDING E,,US,E,MI,,,,,,,,,,,,C533928,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C533928,A17SAT,,FCA US -SHERWOOD 03117,,,,,MI,
,X,TCUS,DLH BOWLES,,0003,DLH BOWLES INC,,,CANTON,44706,2422 LEO AVE SW,,,US,E,OH,,,,,,,,,,,,C476632,,,US,,,,080000,170000,080000,170000,,,,,,,NT15,,,,,,,10029193,,,CRMH04,,10,X,,X,,,,,,,,A17SAT Fernando Arellano,S1554,C476632,,10029193,"dlh Bowles, Inc.",,,,,OH,
,X,TCUS,FCA LLP US 05432,,0003,FCA LLP US 05432,,,REDFORD,48239,US IMPORT DECONSOLDATION CENTER,24450 GLENDALE,,US,E,MI,,,,,,,,,,,,C542858,,,US,,,,,,080000,170000,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C542858,,,FCA LLP US 05432,,,,,MI,
,X,TCUS,ETCO NORTH,,0003,ETCO NORTH,,,WARWICK,02888,ETCO INCORPORATED,25 Bellows Street,,US,E,RI,,,,,,,,,,,,C562984,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C562984,A17SAT,,ETCO North,,,,,RI,
,X,TCUS,GRAYLINE,,0003,GRAYLINE LLC,,,WAUKESHA,53188,2101 AIRPORT ROAD,262-542-4300,,US,E,WI,,,,,,,,,,,,C536847,,,US,,,,080000,153000,080000,153000,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C536847,,,Grayline LLC,,,,,WI,
,X,TCUS,FCA CO CTR LINE PARTS 03110,,0003,FCA CO CENTER LINE PARTS 03110,,,CENTER LINE,48015,DISTRIBUTION CENTER,26311 LAWRENCE AVE,,US,E,MI,,,,,,,,,,,,C533971,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C533971,A17SAT,,FCA CO CENTER LINE PARTS 03110,,,,,MI,
,X,TCUS,RITE AID DCL LANCASTER DIST CTR,,0003,RITE AID DCL LANCASTER DIST CTR,,,LANCASTER,93536,LANCASTER DIST CENTER,2801 West Avenue H,,US,E,CA,,,,,,,,,,,,C538570,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C538570,A17SAT,,RITE AID DCL LANCASTER DIST CTR,,,,,CA,
,X,TCUS,WILSONVILLE DIST CTR,,0003,WILSONVILLE DISTRIBUTION CENTER,,,WILSONVILLE,97070,RITE AID DISTRIBUTION CENTER,29555 SW Boones Ferry Road,,US,E,OR,,,,,,,,,,,,C536649,,,US,,,,,,,,,,,,,,NT15,,,,PDX,C,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C536649,A17SAT,,Wilsonville Distribution Center,PDX,C,,,OR,
,X,TCUS,RITE AID DCR WILSONVILLE DIST CTR,,0003,RITE AID DCR WILSONVILLE DIST CTR,,,WILSONVILLE,97070,RITE AID DISTRIBUTION CENTER,29555 SW Boones Ferry Road,,US,E,OR,,,,,,,,,,,,C538568,,,US,,,,,,,,,,,,,,NT15,,,,PDX,C,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C538568,A17SAT,,RITE AID DCR WILSONVILLE DIST CTR,PDX,C,,,OR,
,X,TCUS,BORG WARNER SLP,,0003,BORG WARNER SLP,,,SAN LUIS POTOSÍ,78395,CIRCUITO MEXICO 105 PARQUE INDUSTRIAL,3 NACIONES,,MX,E,SLP,,,,,,,,,,,,C530838,,,US,,,,080000,170000,080000,170000,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C530838,A17SAT,,BORG WARNER SLP,,,,,SLP,
,X,TCUS,UNITED CARGO - DENVER,,0003,UNITED CARGO - DENVER,,,DENVER,80249,27000 EAST 75TH AVENUE,,,US,E,CO,303 348 7022,,,,,,,,,,,C535440,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C535440,,,UNITED CARGO - DENVER,,,,,CO,
,X,TCUS,KRAYDEN,,0003,KRAYDEN INC,,,GRAND PRAIRIE,75050,1025 AVENUE M,,,US,E,TX,303-280-2800,,,,,,,,,,,C532682,,,US,,,,,,,,,,,,,,NT15,,,,DFW,A,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C532682,A17SAT,,"Krayden, Inc.",DFW,A,,,TX,
,X,TCUS,1025 AVENUE M,,0003,1025 AVENUE M,,,GRAND PRIARIE,75050,CHARLESKRAYDENCOM /CHARLES BLACKWELL,ext 7281,,US,E,TEXAS,303-280-2800,,,,,,,,,,,C510802,,,US,,,,,,,,,,,,,,NT15,,,,DFW,A,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C510802,,,1025 Avenue M,DFW,A,,,TEXAS,
,X,TCUS,UNITED AIRLINE CARGO IAH,,0003,UNITED AIRLINE CARGO IAH,,,HOUSTON,77032,GEORGE BUSH INTERCONTINENTAL AIRPORT,"3230 Pallet Rd,",,US,E,TX,,,,,,,,,,,,C541391,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C541391,A17SAT,,United Airline Cargo IAH,,,,,TX,
,X,TCUS,FARVA MULTIENLACES DE COMERCIO EXTERIOR,,0003,FARVA MULTIENLACES DE COMERCIO EXTERIOR,,,REYNOSA,88710,BOULEVARD DEL MAESTRO,375 COLONIA LAS FUENTES,,MX,E,TAMAULIPAS,,,,,,,,,,,,C511066,,RFC:FMC170203TQ1,US,,,,080000,180000,080000,170000,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT Fernando Arellano,S1554,C511066,A17SAT,,FARVA MULTIENLACES DE COMERCIO EXTERIOR,,,,,TAMAULIPAS,
,X,TCUS,CENTRAL VALLE HERMOSO,,0003,CENTRAL VALLE HERMOSO,,,VALLE HERMOSO,87500,ESTE 124 A ESTE 123 CON SUR 67,400 COL AGRICOLA ANA'HUAC,,MX,E,TAMAULIPAS,,,,,,,,,,,,C554011,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C554011,A17SAT,,CENTRAL VALLE HERMOSO,,,,,TAMAULIPAS,
,X,TCUS,INGENIERÍA AEROESPACIAL DEL CIELO,,0003,INGENIERÍA AEROESPACIAL DEL CIELO INC,,,ORLANDO,32827,4219 LINDY CIRCLE HANGAR 435,,,US,E,FL,407-251-7112,,,,,,,,,,,C563923,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C563923,A17SAT,,"Ingeniería Aeroespacial del Cielo, Inc",,,,,FL,
,X,TCUS,ACCUENERGY CANADA,,0003,ACCUENERGY CANADA INC,,,SCARBOROUGH,M1R3E4,22 HOWDEN ROAD,Shahriar Shuvo,,CA,E,Ontario,4164974100,,,,,,,,,,,C563992,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C563992,A17SAT,,Accuenergy Canada Inc.,,,,,Ontario,
,X,TCUS,SKY AEROSPACE,,0003,SKY AEROSPACE,,,ORLANDO,32827,ORLANDO INTERNATIONAL AIRPORT,4219 Lindy Circle Hangar 435,,US,E,FL,,,,,,,,,,,,C559188,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C559188,A17SAT,,SKY AEROSPACE,,,,,FL,
,X,TCUS,AIRBRIDGECARGO AIRLINES ATL,,0003,AIRBRIDGECARGO AIRLINES ATL,,,ATLANTA,30320,WORLDWIDE FLIGHT SERVICES,"4400 South Cargo Drive, Bldg C",,US,E,GA,,,,,,,,,,,,C543371,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C543371,A17SAT,,AirBridgeCargo Airlines ATL,,,,,GA,
,X,TCUS,COUGAR VILLAGE,,0003,COUGAR VILLAGE,,,HOUSTON,77204,COUGAR VILLAGE UNIVERSITY OF HOUSTON,4427 Cougar Village Drive,,US,E,TX,,,,,,,,,,,,C510727,,,US,,,,,,,,,,,,,,NT15,,,,IAH,C,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C510727,,,Cougar Village,IAH,C,,,TX,
,X,TCUS,COOPER STANDARD AUTOMOTIVE CAN,,0003,COOPER STANDARD AUTOMOTIVE CAN,,,SHERBROOKE,J1R 0W8,NORTH AMERICAN DIVISION,4870 Robert-Boyd,,CA,E,QUEBEC,,,,,,,,,,,,C539832,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C539832,A17SAT,,Cooper Standard Automotive CAN,,,,,QUEBEC,
,X,TCUS,IMPULSE SUPPLY CHAIN 40,,0003,IMPULSE SUPPLY CHAIN 40,,,PHARR,78577,C/O VENDOR PELLI SKIN CO L,500 Capote Central Suite 400,,US,E,TX,,,,,,,,,,,,C531429,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C531429,,,Impulse Supply Chain 4.0,,,,,TX,
,X,TCUS,PLASTICAIR,,0003,PLASTICAIR INC,,,PARIS,N3L 3V1,31 WOODSLEE AVENUE,,,CA,E,ONTARIO,519-442-4999,,,,,,,,,,,C539585,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C539585,A17SAT,,Plasticair Inc,,,,,ONTARIO,
,X,TCUS,LA KE BUENA,,0003,LA KE BUENA,,,"TEZIUTLAN,",73800,ALLENDE 507 COL CENTRO,,,MX,E,MEXICO,52 231 329 0110,,,,,,,,,,,C547746,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C547746,A17SAT,,LA KE BUENA,,,,,MEXICO,
,X,TCUS,EBY ELECTRO,,0003,EBY ELECTRO INC,,,HONG KONG,,RM309 3 F BLOCK A HI TECH IND,"5-21 PAK TIN PAR ST, TSUEN NT",,HK,E,,,,,,,,,,,,,C543057,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C543057,A17SAT,,EBY ELECTRO INC,,,,,,
,X,TCUS,MIDTRONICS,,0003,MIDTRONICS INC,,,BELLEVUE,98009,7000 MONROE STREET,,,US,E,WA,6303236800,,,,,,,,,,,C564012,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C564012,A17SAT,,"Midtronics, Inc",,,,,WA,
,X,TCUS,HY-VEE,,0003,HY-VEE INC,,,CHARITON,50049,1802 OSCEOLA AVENUE,,,US,E,IA,641-774-7664,,,,,,,,,,,C529734,,,US,,,,080000,170000,080000,170000,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C529734,A17SAT,,"Hy-Vee, Inc.",,,,,IA,
,X,TCUS,GR PRINTING EQUIP,,0003,GR PRINTING EQUIPMENT,,,MISSISSAUGA,L5T1Z2,6176A KESTREL ROAD,,,CA,E,ONTARIO,6478356224,,,,,,,,,,,C544260,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C544260,A17SAT,,GR PRINTING EQUIPMENT,,,,,ONTARIO,
,X,TCUS,PT SOLUTION,,0003,PT SOLUTION,,,HOUSTON,77047,14751 KIRBY DRIVE,,,US,E,TX,7132222251,,,,,,,,,,,C538120,,,US,,,,,,,,,,,,,,NT15,,,,IAH,C,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C538120,A17SAT,,PT SOLUTION,IAH,C,,,TX,
,X,TCUS,MID-ATLANTIC CSC,,0003,MID-ATLANTIC CSC,,,ABERDEEN,21001,601 CHELSEA ROAD,,,US,E,MD,717-731-3815,,,,,,,,,,,C536646,,,US,,,,,,,,,,,,,,NT15,,,,BWI,C,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C536646,A17SAT,,Mid-Atlantic CSC,BWI,C,,,MD,
,X,TCUS,ANIXTER SUWANEE,,0003,ANIXTER SUWANEE,,,SUWANEE,30024,3400 LAWRENCEVILLE SUWANEE ROAD,,,US,E,GA,770) 831-4000,,,,,,,,,,,C539555,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C539555,A17SAT,,Anixter Suwanee,,,,,GA,
,X,TCUS,DIAMOND WIPES INTL,,0003,DIAMOND WIPES INTERNATIONAL,,,CHINO,91710,13818 YORBA STREET,,,US,E,CA,909-230-9888,,,,,,,,,,,C531647,,,US,,,,,,,,,,,,,,NT15,,,,LAX,G,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C531647,A17SAT,,Diamond Wipes International,LAX,G,,,CA,
,X,TCUS,RUBBER IND,,0003,RUBBER INDUSTRIES INC,,,SHAKOPEE,55379,200 CAVANAUGH DRIVE,,,US,E,MN,952-445-1320,,,,,,,,,,,C547681,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C547681,A17SAT,,Rubber Industries Inc.,,,,,MN,
,X,TCUS,GAROSO DBA NATL ELECTRIC AND HARDWARE,,0003,GAROSO DBA NATIONAL ELECTRIC AND HARDWARE,,,BROWNSVILLE,78526,3220 RUBERN TORRES SR BOULEVARD,,,US,E,TX,956-548-6677,,,,,,,,,,,C548125,,,US,,,,080000,180000,080000,180000,,,,,,,NT15,,,,MFE,C,,10041148,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C548125,A17SAT,10041148,GAROSO DBA NATIONAL ELECTRIC AND HARDWARE,MFE,C,,,TX,
,X,TCUS,CIVAC,,0003,CIVAC,,,JUITIPEC,62733,PASEO CUAUNAHUAC KM 145 CARRETERA FEDERAL,a Cuautla Carretera Federal,,MX,E,MORELOS,,,,,,,,,,,,C513713,,,US,,,,080000,170000,080000,170000,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C513713,,,CIVAC,,,,,MORELOS,
,X,TCUS,SEMIOS USATURLOCK,,0003,SEMIOS USATURLOCK,,,TURLOCK,95380,2565 ACME COURT,Aaron Machado,,US,E,CA,209-6203210,,,,,,,,,,,C545447,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C545447,A17SAT,,Semios USATurlock,,,,,CA,
,X,TCUS,METZ-CONNECT NJ,,0003,METZ-CONNECT NJ,,,TINTON FALLS,07712,200 TORNILLO WAY,Adrina Bracket,,US,E,NJ,,,,,,,,,,,,C552205,,,US,,,,,,,,,,,,,,NT15,,,,EWR,E,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C552205,,,METZ-CONNECT NJ,EWR,E,,,NJ,
,X,TCUS,AEROUNION LAX,,0003,AEROUNION LAX,,,LOS ANGELES,90045,5625 WEST IMPERIAL HIGHWAY,AIME MELARA / MILENA BERMUDEZ,,US,E,CA,,,,,,,,,,,,C556245,,,US,,,,,,,,,,,,,,NT15,,,,LAX,A,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C556245,A17SAT,,AEROUNION LAX,LAX,A,,,CA,
,X,TCUS,HESSEN FOWARDING,,0003,HESSEN FOWARDING,,,BROWNSVILLE,78521,4535 RUBEN M TORRES BOULEVARD,Aldo Navarro,,US,E,TX,956-831-803,,,,,,,,,,,C553132,,,US,,,,,,,,,,,,,,NT15,,,,MFE,C,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C553132,A17SAT,,HESSEN FOWARDING,MFE,C,,,TX,
,X,TCUS,CAL-COMP,,0003,CAL-COMP,,,LOGANSPORT,46947,1 TECHNOLOGY WAY,AMANDA GALBREATH,,US,E,IN,,,,,,,,,,,,C543362,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C543362,A17SAT,,CAL-COMP,,,,,IN,
,X,TCUS,ITALIAN FURNITURE DESIGNS,,0003,ITALIAN FURNITURE DESIGNS,,,MIAMI,33166,5473 NW 72ND AVENUE,Andreina Andrade,,US,E,FL,305 2827778,,,,,,,,,,,C563158,,,US,,,,,,,,,,,,,,NT15,,,,MIA,A,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C563158,A17SAT,,ITALIAN FURNITURE DESIGNS,MIA,A,,,FL,
,X,TCUS,METZ CONNECT USA,,0003,METZ CONNECT USA INC,,,TINTON FALLS,07712,200 TORNILLO WAY,Angela Bennett x234,,US,E,NJ,+1 732 389-1300,,,,,,,,,,,C529975,,,US,,,,080000,170000,080000,170000,,,,,,,NT15,,,,EWR,E,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C529975,A17SAT,,METZ CONNECT USA INC,EWR,E,,,NJ,
,X,TCUS,CANALMARINE SUPPLIES,,0003,CANALMARINE SUPPLIES,,,MIAMI,33166,7200 NW 84TH AVENUE,ATT LUIS ARDILLA,,US,E,FL,,,,,,,,,,,,C548318,,,US,,,,,,,,,,,,,,NT15,,,,MIA,A,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C548318,A17SAT,,CANALMARINE SUPPLIES,MIA,A,,,FL,
,X,TCUS,MV MAJESTIC PRINCESS,,0003,MV MAJESTIC PRINCESS,,,LOS ANGELES,,PORT OF LOS ANGELES,ATTN: ENTERTAINMENT DIRECTOR HGM,,US,E,CA,,,,,,,,,,,,C529058,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C529058,,,MV MAJESTIC PRINCESS,,,,,CA,
,X,TCUS,NWNA,,0003,NWNA,,,SAN BERNARDINO,91761,5772 E JURUPA STREET,Attn: Jon Allen,,US,E,CA,,,,,,,,,,,,C542552,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C542552,A17SAT,,NWNA,,,,,CA,
